trial_index,arm_name,trial_status,generation_method,obj0,obj1,is_feasible,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
77,77_0,COMPLETED,FullyBayesianMOO,-1.1170685291290283,-0.3678200840950012,False,0.20250330905684383,0.5126075806213027,0.49117405556737054,0.6041566022274097,0.5198655785845283,0.398971698221033,0.8772361493286699,0.5684393659505169,0.501545904910455,0.4140529137767768,0.0,1.0,0.11680173821931256,0.49601724618597354,0.4970051455671701,0.0,0.6135340774435086,0.0,1.0,0.6260186754830768,0.0,0.3139482753305016,0.24169974554925422,1.0,0.05524110947097028,0.0,0.937638272634598,0.3893926415289197,0.0,1.0
78,78_0,COMPLETED,FullyBayesianMOO,-0.20972543954849243,-1.3072319030761719,False,0.8987270463664256,0.18687447140296162,0.6902787868866131,0.5222212412222224,0.48612186834026994,0.5587044121378928,0.28194243996835133,0.1349135063019725,0.5044572747824296,0.5685948617064005,0.0,0.0,1.0,0.06281551259787947,1.0,1.0,0.0,0.8171250186047602,1.0,1.0,0.0,0.0,0.0,0.4846473386357944,0.0,1.0,1.0,1.0,1.0,0.05599376345442989
79,79_0,COMPLETED,FullyBayesianMOO,-0.5663620829582214,-1.1443465948104858,False,0.7074242989801847,0.36625646307485227,0.5326300450890393,0.5006770602182066,0.21003017659334844,0.7631787922014008,0.6123965972526176,0.4330527723004386,0.2043686181593601,0.5043809080841508,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.3225908760612632,1.0,1.0,0.7577966458047084,0.0,1.0,0.0,0.0,0.8613988163481745,0.1581421700922667,1.0,0.0,1.0
80,80_0,COMPLETED,FullyBayesianMOO,-0.9364941716194153,-0.3985810875892639,True,0.2561675256214285,0.4900180529096558,0.5060218007722482,0.5608678571081338,0.5163169411195696,0.48764227899003604,0.561759194833702,0.5413349452074279,0.4436356477797362,0.43052711674730426,0.31608490836488884,0.5169971038344209,1.0,0.8585302045468198,0.45360490295585465,0.7514593588842253,1.0,0.0,1.0,0.6791787597591262,0.0,0.6351495401953593,0.6373647474433831,0.607179480455696,0.0,0.0,0.9991675004029903,0.0,0.0,1.0
81,81_0,COMPLETED,FullyBayesianMOO,-0.614289402961731,-1.3125721216201782,False,0.7213355758398436,0.5351961474143754,0.5554705053406822,0.4824332436709968,0.0,0.5963885187868623,0.7230099901682003,0.16377503652023928,0.3576529235229843,0.547404173156526,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.994149918209241,0.35278500010769254,0.0,0.24353988408977548,0.8825106678462592,0.1387671941618588,0.650628829352838,0.4853444595639738,0.8706114738642432,0.34419588715984845,0.7278415732112052
82,82_0,COMPLETED,FullyBayesianMOO,-1.4060314893722534,-0.5591323971748352,False,0.24095651634677245,0.4749551694894213,0.4624177891565049,0.6681800712218612,0.0,0.3980123264876056,0.5550162106141916,0.03669729258451101,0.4791659429585375,0.4344933759574879,1.0,0.9789229620148342,1.0,0.9149784735867098,0.6835232114306277,0.0,1.0,0.0,0.5566005934794214,0.7178595671824544,0.07501963338434152,0.10016404930450255,0.03918461782488673,0.5637979588973431,0.0,0.6377078392455665,0.73704732136298,0.7955443214469251,0.0,1.0
83,83_0,COMPLETED,FullyBayesianMOO,-0.945522665977478,-0.42418357729911804,True,0.2684679989017572,0.42589794111743645,0.4784361930451731,0.6445735422527569,0.4493202248139599,0.4864193852253813,0.5589660501776874,0.4779446720807039,0.5159942929929552,0.4501668561248876,0.5406370510292091,0.919274584341321,1.0,0.5840178485383288,0.5038444753622255,0.30964560590777246,1.0,0.12864114687116573,1.0,0.7024247885650035,0.0,0.8405078347697743,1.0,0.6429776264432655,0.0,0.0,0.8771740628604043,0.0,0.05506068274003717,1.0
84,84_0,COMPLETED,FullyBayesianMOO,-0.6078349947929382,-1.044238567352295,True,0.6644108943749415,0.5906436437209136,0.2920001298911974,0.5243959603625334,0.44456758468185437,0.5580735371336908,0.2094045407811749,0.6302256563070848,0.2937072973945233,0.4239709885201988,0.0,0.0,0.6300003112594214,0.0,1.0,1.0,0.0,1.0,1.0,0.7398810966984946,0.76184002222862,0.0,0.5941176073073332,0.7484789025607561,0.0,0.0,0.0,0.8683136541115222,0.0,1.0
85,85_0,COMPLETED,FullyBayesianMOO,-0.982669472694397,-0.31543734669685364,True,0.19774060406377234,0.4611830928953278,0.4809212465483985,0.6241347960873188,0.4816844279302592,0.5590127527826154,0.49955838716701984,0.4677871515467515,0.42471152205389884,0.4347941516233342,0.4419327473354146,0.8614644873699744,1.0,0.6500163426997053,0.5636167694730648,0.6455760545321227,1.0,0.0,0.8134373560792185,0.6589042242186671,0.2318765532866843,0.6482257444082987,1.0,0.8710386847520749,0.0,0.0,0.9709018369924095,0.0,0.44088700980924245,1.0
86,86_0,COMPLETED,FullyBayesianMOO,7.599469853403207e-08,-1.7385560274124146,False,1.0,0.32875971942603843,0.8851541229549151,0.5360772681856703,1.0,0.45035528913033335,0.0,0.5841578957724829,0.5913037720904006,0.2957843408625635,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.9143072843932214,0.3162698461086396,0.0,1.0,0.37741165523483416,0.0,1.0,1.0,0.0,1.0
87,87_0,COMPLETED,FullyBayesianMOO,-0.931907057762146,-0.4531482756137848,True,0.2881306482646222,0.4946905364228597,0.4820910624889523,0.5658910433335671,0.5180389248918276,0.43013228735426823,0.6414394483512782,0.5446467197909498,0.4533231094729394,0.4534629487251103,0.717183858454851,0.08410787342519567,1.0,0.6361220405427285,0.25117768310036787,0.5772051029933497,1.0,0.20779640055941184,0.6997739291077893,1.0,0.0,0.7259573393263682,1.0,1.0,0.0,0.0,0.9973468908435875,0.10048433226786779,0.7909546258788553,1.0
88,88_0,COMPLETED,FullyBayesianMOO,-0.3102615773677826,-1.0096940994262695,True,0.8102078806472107,0.5050000819506878,0.6537037133130126,0.5935256082746281,0.44796644131225777,0.5259729125140465,0.4307108274964548,0.3962088196239998,0.48874832568258963,0.4306538990855077,0.0,0.0,0.8913255592454119,0.0,1.0,1.0,0.6997410115775067,0.0,1.0,0.9265372618055828,0.0,0.0,0.0,0.41651490993039425,0.0,0.0,0.37838665692822837,1.0,0.0,1.0
89,89_0,COMPLETED,FullyBayesianMOO,-0.513546347618103,-1.0054115056991577,True,0.699365155875693,0.5667916706726517,0.382563794662358,0.5711195307839245,0.4321037809626928,0.5301877869397641,0.5177436206888971,0.5681114992622511,0.3994804871186043,0.2083079237089449,0.03724140868661557,0.0,1.0,0.0,1.0,1.0,1.0,0.25120875740813764,1.0,1.0,0.0,0.0,0.0,0.26761058152907885,0.0,0.0,0.4243559359482811,1.0,0.0,1.0
90,90_0,COMPLETED,FullyBayesianMOO,-0.9137914180755615,-0.44920435547828674,True,0.2908661209787313,0.47807757528209566,0.5255785171566125,0.5474158843030996,0.5332743453371125,0.5364124051758921,0.46893577635341355,0.5551443358257381,0.4432183723826343,0.42797754725526754,0.5393077242522097,0.7572102768083192,1.0,0.6665665365051141,0.0,0.6360643711708629,1.0,0.08488292740353597,0.969315842876547,0.768260735573842,0.162373283724254,0.7496855567379799,1.0,0.9735551597262061,0.0,0.0,1.0,0.0,0.4154110712626608,1.0
