"id","name","topo","hydro","muid","lu_mgt","soil_plant_init","surf_stor","snow","field","hyd_grp","area_ha","slp"
"    2941","hru2941","topohru2941","           hyd2941",172113,"            SC_FT","    soilnut_20-30","             null","          snow001","             null","A",0.6,0.01614
"    2942","hru2942","topohru2942","           hyd2942",172202," CS_NT_tile_GW_MS","    soilnut_20-30","             null","          snow001","             null","C",0.71,0.03314
"    2943","hru2943","topohru2943","           hyd2943",172130,"   SC_RotT_tile_B","    soilnut_20-30","             null","          snow001","             null","C",1.16,0.0342
"    2944","hru2944","topohru2944","           hyd2944",167956,"   SC_RotT_tile_B","    soilnut_30-40","             null","          snow001","             null","C",0.12,0.03553
"    2945","hru2945","topohru2945","           hyd2945",172151,"         urml_lum","       soilplant1","             null","          snow001","             null","B",0.66,0.03848
"    2946","hru2946","topohru2946","           hyd2946",172205,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.24,0.1614
"    2947","hru2947","topohru2947","           hyd2947",167956,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.4,0.06608
"    2948","hru2948","topohru2948","           hyd2948",172165,"         urml_lum","       soilplant1","             null","          snow001","             null","B",0.18,0.06308
"    2949","hru2949","topohru2949","           hyd2949",172194,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.11,0.05109
"    2950","hru2950","topohru2950","           hyd2950",172144,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.06,0.0459
"    2951","hru2951","topohru2951","           hyd2951",172136,"         urml_lum","       soilplant1","             null","          snow001","             null","A",0.01,0
"    2952","hru2952","topohru2952","           hyd2952",172130,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.04,0.04845
"    2953","hru2953","topohru2953","           hyd2953",172123,"         urml_lum","       soilplant1","             null","          snow001","             null","C",0.14,0.03976
"    2954","hru2954","topohru2954","           hyd2954",172113,"          SC_NT_B","    soilnut_20-30","             null","          snow001","             null","A",3.86,0.012
"    2955","hru2955","topohru2955","           hyd2955",172155,"     SC_NTcc_tile","    soilnut_70-80","             null","          snow001","             null","C",0.73,0.00948
"    2956","hru2956","topohru2956","           hyd2956",172114,"            CS_FT","    soilnut_20-30","             null","          snow001","             null","A",0.56,0.02309
"    2957","hru2957","topohru2957","           hyd2957",172136,"        CS_NTcc_B","    soilnut_30-40","             null","          snow001","             null","A",0.13,0.03092
"    2958","hru2958","topohru2958","           hyd2958",172144,"     SC_NTcc_tile","    soilnut_30-40","             null","          snow001","             null","C",0.32,0.01309
"    2959","hru2959","topohru2959","           hyd2959",172205," CS_NT_tile_GW_HS","    soilnut_20-30","             null","          snow001","             null","C",0.03,0.36217
"    2960","hru2960","topohru2960","           hyd2960",172145,"         frsd_lum","       soilplant1","             null","          snow001","             null","B",0.86,0.00127
"    2961","hru2961","topohru2961","           hyd2961",172205,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.57,0.01354
"    2962","hru2962","topohru2962","           hyd2962",172151,"         frsd_lum","       soilplant1","             null","          snow001","             null","B",0.04,0
"    2963","hru2963","topohru2963","           hyd2963",172193,"         frsd_lum","       soilplant1","             null","          snow001","             null","C",0.03,0.02133
"    2964","hru2964","topohru2964","           hyd2964",172205,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.04,0
"    2965","hru2965","topohru2965","           hyd2965",172145,"         past_lum","       soilplant1","             null","          snow001","             null","B",0.04,0
"    2966","hru2966","topohru2966","           hyd2966",172203,"         past_lum","       soilplant1","             null","          snow001","             null","C",0.19,0.00258
